Epochs,loss,accuracy,val_loss,val_accuracy,lr
250,0.032343,0.997842,0.528359,0.881605,0.000100
251,0.033391,0.997185,0.549756,0.878669,0.000100
252,0.032816,0.997091,0.530404,0.878669,0.000100
253,0.034433,0.996622,0.602761,0.853229,0.000100
254,0.031978,0.997560,0.557795,0.884051,0.000100
255,0.031945,0.997654,0.635744,0.864481,0.000100
256,0.030428,0.998029,0.533526,0.874755,0.000100
257,0.031682,0.997372,0.632574,0.842955,0.000100
258,0.030598,0.997935,0.557926,0.855186,0.000100
259,0.031917,0.997935,0.569011,0.867906,0.000100
260,0.030900,0.997842,0.669448,0.860078,0.000100
261,0.031780,0.997560,0.653091,0.851761,0.000100
262,0.030897,0.997466,0.663931,0.855186,0.000100
263,0.029536,0.997935,0.691509,0.828767,0.000100
264,0.030452,0.997748,0.677620,0.825342,0.000100
265,0.030713,0.997654,0.595024,0.872309,0.000100
266,0.033586,0.996903,1.291482,0.753425,0.000100
267,0.034857,0.997091,0.584662,0.866928,0.000100
268,0.032579,0.997466,0.547840,0.878669,0.000100
269,0.031339,0.997560,0.548460,0.880626,0.000100
270,0.032408,0.997185,0.552440,0.875734,0.000100
271,0.033975,0.997466,0.648688,0.847358,0.000100
272,0.031199,0.997560,0.641514,0.847847,0.000100
273,0.032139,0.996997,0.613226,0.859100,0.000100
274,0.031268,0.997748,0.473125,0.896282,0.000100
275,0.029426,0.998123,0.516031,0.860568,0.000100
276,0.031386,0.997279,0.558076,0.857632,0.000100
277,0.030434,0.997748,0.561422,0.850783,0.000100
278,0.032712,0.997185,0.586932,0.846380,0.000100
279,0.033709,0.997372,0.488429,0.884051,0.000100
280,0.031743,0.997185,0.495119,0.871331,0.000100
281,0.035487,0.996903,0.536141,0.889922,0.000100
282,0.036421,0.996434,0.572493,0.877202,0.000100
283,0.033703,0.997185,0.494043,0.869374,0.000100
284,0.031737,0.997372,0.474743,0.889922,0.000100
285,0.032190,0.997466,0.540308,0.872309,0.000100
286,0.032833,0.997185,0.548899,0.874755,0.000100
287,0.034578,0.996622,0.539752,0.869863,0.000100
288,0.032568,0.997842,0.647334,0.828278,0.000100
289,0.031108,0.997654,0.622534,0.857632,0.000100
290,0.031821,0.996997,0.569692,0.840509,0.000100
291,0.031042,0.997466,0.548175,0.857632,0.000100
292,0.031172,0.997842,0.595072,0.863503,0.000100
293,0.030272,0.998029,0.535796,0.873288,0.000100
294,0.030102,0.997748,0.548991,0.872798,0.000100
295,0.031415,0.997372,0.569666,0.864481,0.000100
296,0.030366,0.997466,0.581862,0.863992,0.000100
297,0.032317,0.997185,0.595526,0.867417,0.000100
298,0.032802,0.997279,0.651374,0.833659,0.000100
299,0.032681,0.997091,0.538559,0.869374,0.000100
300,0.031782,0.997279,0.627260,0.835127,0.000100
301,0.035099,0.996903,0.610890,0.839530,0.000100
302,0.035102,0.996622,0.559866,0.871820,0.000100
303,0.032555,0.997748,0.549864,0.885029,0.000100
304,0.029372,0.997935,0.545347,0.876712,0.000100
305,0.030032,0.997748,0.528305,0.881115,0.000100
306,0.030166,0.997654,0.602980,0.853229,0.000100
307,0.030709,0.997654,0.612836,0.840509,0.000100
308,0.033131,0.996622,0.640910,0.838063,0.000100
309,0.032121,0.997372,0.581366,0.848826,0.000100
310,0.031124,0.997560,0.575991,0.849804,0.000100
311,0.031129,0.997654,0.612897,0.861057,0.000100
312,0.031942,0.997091,0.589253,0.875245,0.000100
313,0.033152,0.997091,0.649141,0.838063,0.000100
314,0.032554,0.997372,0.561143,0.864971,0.000100
315,0.032293,0.997654,0.595500,0.868885,0.000100
316,0.031422,0.997466,0.540150,0.878669,0.000100
317,0.033278,0.997091,0.603029,0.848337,0.000100
318,0.030793,0.997748,0.560316,0.861057,0.000100
319,0.030744,0.997466,0.542876,0.863503,0.000100
320,0.036954,0.995965,0.542974,0.893836,0.000100
321,0.032870,0.996997,0.540494,0.886497,0.000100
322,0.032216,0.997372,0.590779,0.869863,0.000100
323,0.034746,0.997279,0.564269,0.878669,0.000100
324,0.032311,0.997279,0.560646,0.880626,0.000100
325,0.030507,0.998029,0.561976,0.879158,0.000100
326,0.029820,0.997842,0.546435,0.879648,0.000100
327,0.030544,0.997560,0.551404,0.874266,0.000100
328,0.029633,0.997842,0.531397,0.879158,0.000100
329,0.029829,0.997748,0.518353,0.881605,0.000100
330,0.029839,0.997560,0.512604,0.883562,0.000100
331,0.029581,0.997466,0.546663,0.875734,0.000100
332,0.029545,0.997842,0.612242,0.870352,0.000100
333,0.038789,0.996059,0.492823,0.886008,0.000100
334,0.031323,0.997466,0.515433,0.887965,0.000100
335,0.030683,0.997842,0.504420,0.895793,0.000100
336,0.030435,0.997654,0.569136,0.879648,0.000100
337,0.028645,0.997935,0.549003,0.873288,0.000100
338,0.028759,0.997935,0.501583,0.848826,0.000100
339,0.028970,0.998029,0.562550,0.885029,0.000100
340,0.028733,0.997842,0.540809,0.886497,0.000100
341,0.029321,0.997560,0.623376,0.847847,0.000100
342,0.030307,0.998029,0.538568,0.886497,0.000100
343,0.032235,0.997091,0.612285,0.859100,0.000100
344,0.029099,0.997654,0.510103,0.888943,0.000100
345,0.029216,0.998123,0.569734,0.885519,0.000100
346,0.029904,0.997560,0.458068,0.881115,0.000100
347,0.032676,0.996809,0.433079,0.902642,0.000100
348,0.030890,0.997654,0.477102,0.880137,0.000100
349,0.028591,0.997935,0.385656,0.886008,0.000100
